Features,Model,RMSE,R²,MAE
"VSA,VF,PLD",XGBoost,1.8048203359557948,0.9732516009353005,1.303031486240441
"VSA,PV,LCD",LinearRegression,5.027865554185987,0.7924144330586231,4.043957120533052
"VSA,PV,LCD",SGDRegressor,5.0336223292411955,0.7919388007904016,4.015551056305375
"VSA,PV,LCD",RandomForest,0.978537921290952,0.9921370563476533,0.6758216967881174
"VSA,PV,LCD",GradientBoost,2.129714362035504,0.9627546069610478,1.6051966386789653
"VSA,PV,LCD",XGBoost,2.4977693232470033,0.9487688036964704,1.8925241921293543
"VSA,PV,PLD",LinearRegression,5.435506957953379,0.7573892980531817,4.329171349274082
"VSA,PV,PLD",SGDRegressor,5.439491921392493,0.7570334345870899,4.36723474232508
"VSA,PV,PLD",RandomForest,1.9767089037538688,0.9679140221540345,1.4685566942367172
"VSA,PV,PLD",GradientBoost,2.4444419023407664,0.9509330252875339,1.8543090193831855
"VSA,PV,PLD",XGBoost,2.577892040977213,0.9454293290268551,1.9587991345424454
"VSA,LCD,PLD",LinearRegression,4.963740757710378,0.797675709916437,3.9817708791258375
"VSA,LCD,PLD",SGDRegressor,4.973028288380194,0.7969178737992367,3.934329778461071
"VSA,LCD,PLD",RandomForest,1.8944103851787917,0.9705301466926907,1.4062670848243202
"VSA,LCD,PLD",GradientBoost,2.272325332004467,0.9575995112795676,1.717984327773232
"VSA,LCD,PLD",XGBoost,2.750621421472234,0.9378714119075271,2.0749878466573946
"VF,PV,LCD",LinearRegression,4.356862732004319,0.8441245943307675,3.3946872232571197
"VF,PV,LCD",SGDRegressor,4.36212593206553,0.8437477640153869,3.4487519282247763
"VF,PV,LCD",RandomForest,1.3156492848505206,0.9857862029432933,0.9053972393461491
"VF,PV,LCD",GradientBoost,1.5246082949644895,0.9809126165166155,1.073083595962166
"VF,PV,LCD",XGBoost,2.1008475902085912,0.9637574341980806,1.5783840408136185
"VF,PV,PLD",LinearRegression,4.3451531715008995,0.8449613339053641,3.3913410337936805
"VF,PV,PLD",SGDRegressor,4.36041545426906,0.8438702793137822,3.482490416592937
"VF,PV,PLD",RandomForest,1.4620233435743843,0.9824475212416814,1.0261730395216015
"VF,PV,PLD",GradientBoost,1.706006010056018,0.9761003821926005,1.2192049137775842
"VF,PV,PLD",XGBoost,2.1749395368859927,0.9611559755715907,1.6277502787950968
"VF,LCD,PLD",LinearRegression,4.346774555715737,0.8448456076529625,3.3867363442207576
"VF,LCD,PLD",SGDRegressor,4.349274274008537,0.8446671057376478,3.354945962097349
"VF,LCD,PLD",RandomForest,1.5389407778079809,0.9805520577044629,1.087958664350339
"VF,LCD,PLD",GradientBoost,1.5460544612452913,0.980371847709125,1.0647514367057367
"VF,LCD,PLD",XGBoost,2.2101793020615825,0.9598870264320547,1.6505267679070474
"PV,LCD,PLD",LinearRegression,7.688181415417465,0.5146253529942085,6.12401012822417
"PV,LCD,PLD",SGDRegressor,7.700992522784957,0.5130064090125848,6.227219247649164
"PV,LCD,PLD",RandomForest,1.8824503217008413,0.9709010786874807,1.3752073777202012
"PV,LCD,PLD",GradientBoost,2.3532660103315424,0.9545250859926895,1.7654322996932375
"PV,LCD,PLD",XGBoost,2.6539637045089863,0.9421611298460162,2.0229764417154166
"Density,GSA,VSA,VF",LinearRegression,3.6732008322671184,0.8892052478144713,2.83814592165998
"Density,GSA,VSA,VF",SGDRegressor,3.6744881092949515,0.8891275779362968,2.8549142249312918
"Density,GSA,VSA,VF",RandomForest,1.3191280308128015,0.9857109373527863,0.9144509133472103
"Density,GSA,VSA,VF",GradientBoost,1.6501163785696806,0.977640659362739,1.1648880460784061
"Density,GSA,VSA,VF",XGBoost,1.7258532082404248,0.9755410645575983,1.207310968790503
"Density,GSA,VSA,PV",LinearRegression,4.18160967796573,0.8564124362809846,3.277727287608842
"Density,GSA,VSA,PV",SGDRegressor,4.182203517845785,0.8563716509936259,3.273734787941346
"Density,GSA,VSA,PV",RandomForest,1.2520548780107923,0.987127094785027,0.8832634790542226
"Density,GSA,VSA,PV",GradientBoost,1.682272375826595,0.9767607306576718,1.2635089846725276
"Density,GSA,VSA,PV",XGBoost,1.739808421782926,0.975143916459697,1.3056786422545736
"Density,GSA,VSA,LCD",LinearRegression,3.973594192082378,0.8703427318821454,3.0458023921057618
"Density,GSA,VSA,LCD",SGDRegressor,3.9755794405485236,0.8702131433129436,3.026831214220098
